[146] Error : 47.64001, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 5 out of 100, Valid Correct 0 out of 4
[147] Error : 47.64001, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 5 out of 100, Valid Correct 0 out of 4
[148] Error : 47.64001, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 5 out of 100, Valid Correct 0 out of 4
[149] Error : 47.64001, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 6 out of 100, Valid Correct 0 out of 4
[150] Error : 47.63999, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 6 out of 100, Valid Correct 0 out of 4
[151] Error : 47.64001, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 6 out of 100, Valid Correct 0 out of 4
[152] Error : 47.64000, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 6 out of 100, Valid Correct 0 out of 4
[153] Error : 47.63999, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 6 out of 100, Valid Correct 0 out of 4
[154] Error : 47.63999, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 6 out of 100, Valid Correct 0 out of 4
[155] Error : 47.63999, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 6 out of 100, Valid Correct 0 out of 4
[156] Error : 47.63998, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 6 out of 100, Valid Correct 0 out of 4
[157] Error : 47.63998, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 6 out of 100, Valid Correct 0 out of 4
[158] Error : 47.63998, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 6 out of 100, Valid Correct 0 out of 4
[159] Error : 47.63999, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 6 out of 100, Valid Correct 0 out of 4
[160] Error : 47.63998, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 6 out of 100, Valid Correct 0 out of 4
[161] Error : 47.63998, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 6 out of 100, Valid Correct 0 out of 4
[162] Error : 47.63998, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 6 out of 100, Valid Correct 0 out of 4
[163] Error : 47.63998, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 7 out of 100, Valid Correct 0 out of 4
[164] Error : 47.63997, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 7 out of 100, Valid Correct 0 out of 4
[165] Error : 47.63998, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 7 out of 100, Valid Correct 0 out of 4
[166] Error : 47.63997, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 7 out of 100, Valid Correct 0 out of 4
[167] Error : 47.63997, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 7 out of 100, Valid Correct 0 out of 4
[168] Error : 47.63996, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 7 out of 100, Valid Correct 0 out of 4
[169] Error : 47.63997, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 6 out of 100, Valid Correct 0 out of 4
